city,country,year,jams_delay,traffic_index_live,travel_time_live_per_10kms_mins,city_gdp_capita,unemployment_pct,population
belo-horizonte,BRA,2024,263.0478793178837,19.428946217752515,18.304538148547458,11124.0,9.5,6100000.0
bogota,COL,2024,1141.552364273205,37.614273204903675,24.99218531844916,11442.0,10.0,11300000.0
brasilia,BRA,2024,101.57632617273126,11.258220078912757,13.338658187159751,16251.0,7.8,4800000.0
buenos-aires,ARG,2024,571.0895933537385,17.75601224311325,17.907915659200043,18117.0,7.2,15400000.0
curitiba,BRA,2024,183.4692744755245,14.954545454545455,17.258700416746265,12381.0,8.2,3700000.0
fortaleza,BRA,2024,82.81318101933216,15.896748681898067,19.267171496002653,8512.0,11.8,4200000.0
lima,PER,2024,1052.2927888792356,31.031277150304085,25.674260588392634,13472.0,6.5,11200000.0
mexico-city,MEX,2024,2833.057892435505,34.21818976825536,21.80909246041577,21111.0,3.2,22100000.0
montevideo,URY,2024,50.201092179991264,17.01485364788117,18.892342279198196,26176.0,8.4,1800000.0
porto-alegre,BRA,2024,139.38282961016208,17.68725361366623,16.16668431929304,11801.0,8.7,4300000.0
recife,BRA,2024,112.7555506993007,21.555944055944057,20.10156890188667,9189.0,11.2,4099999.9999999995
rio-de-janeiro,BRA,2024,466.06470588235294,25.16296296296296,17.137320045767062,13349.0,9.2,13700000.0
salvador,BRA,2024,86.39999999999999,20.928727590730215,16.83162034206379,8899.0,12.4,3900000.0
santiago,CHL,2024,629.8653176675369,20.155352480417754,17.03130951450783,2277.0,7.8,7100000.0
sao-paulo,BRA,2024,1729.1892701998263,26.877932232841008,20.8018358290474,14703.0,8.5,22600000.0
